Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
BALADY EGGS (ORGANIC),0,Eggs,11388.840261,2848.840261,58.8859769771,12.0,0.498490928795,1229.6358945,313.21535177,826.196145701,0.489530041206
BALADY LETTUCE (CHEMICAL FREE),0,Vegetables,60.0,17.5,4.75338560147,11.0,0.00262620732597,1229.6358945,313.21535177,-95.1205067884,0.00300710988902
BALADY RAW HONEY,NGS,Honey,2708.0,611.3,9.06539914959,23.0,0.118529490645,1229.6358945,313.21535177,120.227793619,0.105042644295
BALADY WHOLE CHICKEN(CHEMICAL FREE),0,Chemical free poultry ,3169.8,732.05,12.3932034642,18.0,0.138742533031,1229.6358945,313.21535177,157.783626371,0.125791702529
BALADY WHOLE CHICKEN(CHEMICAL FREE),0,Poultry,5725.0,995.0,0.0,11.0,0.250583949019,1229.6358945,313.21535177,365.584977278,0.170975676547
BALADY WHOLE CHICKEN(CHEMICAL FREE) / DEFAULT,0,Poultry,21335.168041,4295.168041,45.9966493976,12.0,0.933842910167,1229.6358945,313.21535177,1635.08012709,0.738059559492
BAMBOO SUSHI MATT,NGS,Japanese cuisine,41.5,8.25,0.0,24.0,0.00181646006713,1229.6358945,313.21535177,-96.6250171953,0.00141763751911
BANANA,Kheir Misr,Fresh vegetables,4694.363487,805.583487,11.8097235963,40.0,0.205472863005,1229.6358945,313.21535177,281.768579464,0.138427318297
BANANA / 500G,NGS,Fresh Produce,675.62,156.04,3.21300015809,45.0,0.0295719698928,1229.6358945,313.21535177,-45.0552799391,0.026813110119
BANANA BREAD (GLUTEN FREE) - TRACES OF GLUTEN,0,Snacks,332.5,175.0,10.2425151865,11.0,0.0145535655981,1229.6358945,313.21535177,-72.9594751188,0.0300710988902
BANANA BREAD WITH WALNUTS AND CINNAMON (GLUTEN FREE),0,Bread,300.0,75.0,0.0,7.0,0.0131310366298,1229.6358945,313.21535177,-75.6025339418,0.0128876138101
BANANA CHIPS,0,Dried fruits,559.3,109.3,10.4191170396,11.0,0.0244806292902,1229.6358945,313.21535177,-54.5149907788,0.0187815491926
BANANAS,NGS,Fruits,644.621064,410.241064,0.0,5.0,0.0282151426791,1229.6358945,313.21535177,-47.5762649021,0.070493712025
BANANAS ( IMPORTED ),NGS,Fresh fruits,2160.0,425.4,12.4278620132,23.0,0.0945434637348,1229.6358945,313.21535177,75.6617556192,0.0730985455309
BANANAS (CHEMICAL FREE),Balaika,Chemical free fruits,964.0,340.1,3.7447942366,17.0,0.0421943977039,1229.6358945,313.21535177,-21.6028090662,0.0584410327576
BANANAS (CHEMICAL FREE),NGS,Fruits,1700.063401,610.923401,2.61362108119,11.0,0.0744119826386,1229.6358945,313.21535177,38.2574637424,0.104977931462
BANANAS (IMPORTED),NGS,Fruits,4839.451687,1338.211687,20.5129022849,11.0,0.211823391234,1229.6358945,313.21535177,293.567860913,0.229951405576
BASIL,Tropical Heat,Condiments,10.0,3.0,0.0,24.0,0.000437701220994,1229.6358945,313.21535177,-99.1867511314,0.000515504552404
BASIL / DEFAULT,0,Condiments,10.0,10.0,0.0,20.0,0.000437701220994,1229.6358945,313.21535177,-99.1867511314,0.00171834850801
BASIL LEAVES,0,Herbs and spices,51.647297,18.647297,21.3268337497,8.0,0.0022606084958,1229.6358945,313.21535177,-95.7997894148,0.00320425549784
BASMATI BROWN RICE ( ORGANIC ) / 907G,Lundberg Family Farms,Rice,5634.3,1181.9,13.1740028701,40.0,0.246613998945,1229.6358945,313.21535177,358.20881004,0.203091610162
BASMATI BROWN RICE ( ORGANIC ) 907G,0,Rice,1910.701842,410.701842,15.3618231952,9.0,0.08363165292,1229.6358945,313.21535177,55.3876111253,0.0705728897439
BASMATI RICE ( WHITE ),0,Rice,525.0,105.0,4.09842021232,11.0,0.0229793141022,1229.6358945,313.21535177,-57.3044343981,0.0180426593341
BATAW CRACKERS WITH SPICES,NGS,Bread,180.0,36.0,6.504108944,22.0,0.0078786219779,1229.6358945,313.21535177,-85.3615203651,0.00618605462885
BED TIME TEA / 16 TEA BAGS,imtenan,Teas & Herbs,8.19,1.89,0.0,47.0,0.000358477299994,1229.6358945,313.21535177,-99.3339491766,0.000324767868015
BEDOUIN LAMB BEIT KALAWI ( CHEMICAL FREE ),NGS,Chemical free beef,780.0,162.5,14.4533733711,19.0,0.0341406952376,1229.6358945,313.21535177,-36.5665882486,0.0279231632552
BEDOUIN LAMB BEIT KALAWI (CHEMICAL FREE) - FROZEN,0,Lamb,3921.503268,970.943268,46.2269406185,11.0,0.171644676854,1229.6358945,313.21535177,218.915809594,0.166841891593
BEDOUIN LAMB LEG ( CHEMICAL FREE ),NGS,Chemical free beef,1662.5,332.5,10.7844597622,19.0,0.0727678279903,1229.6358945,313.21535177,35.202624406,0.0571350878915
BEDOUIN LAMB LEG ( CHEMICAL FREE ) - FROZEN,0,Lamb,3348.818495,793.218495,15.1067025233,11.0,0.146578194415,1229.6358945,313.21535177,172.342285223,0.136302581741
BEDOUIN LAMB SHOULDER (CHEMICAL FREE) - FROZEN,0,Lamb,579.218182,143.218182,0.0,4.0,0.0253524505484,1229.6358945,313.21535177,-52.8951468812,0.024609874936
BEE POLLEN DUST ( EGYPTIAN ) / 300G,NGS,Food supplements,1473.225,237.225,5.109188397,39.0,0.0644832381299,1229.6358945,313.21535177,19.8098564454,0.0407635224814
BEE POLLEN DUST ( EGYPTIAN ) 140G,NGS,Food supplements,222.0,46.5,0.0,11.0,0.00971696710607,1229.6358945,313.21535177,-81.9458751169,0.00799032056226
BEE POLLEN GRANULES,0,Food supplements,892.0,195.6,12.3408126719,11.0,0.0390429489127,1229.6358945,313.21535177,-27.4582009202,0.0336108968168
BEE POLLEN GRANULES,"Starwest Botanicals,Inc.",Food supplements,336.0,48.0,5.62470912441,38.0,0.0147067610254,1229.6358945,313.21535177,-72.6748380148,0.00824807283847
BEEF (TRIBIANCO) / 1KG,Kheir Misr,Fresh Beef & Poultry,949.59003,390.90003,1.59872254662,45.0,0.0415636715575,1229.6358945,313.21535177,-22.7746982462,0.0671702483333
BEEF BBQ CUTTLETS (KABAB),Kheir Misr,Fresh Beef & Poultry,1404.0,324.0,3.83178325321,40.0,0.0614532514276,1229.6358945,313.21535177,14.1801411525,0.0556744916597
BEEF CUBES (CHEMICAL FREE) - FROZEN,0,Beef,174.0,174.0,0.0,12.0,0.0076160012453,1229.6358945,313.21535177,-85.8494696862,0.0298992640394
BEEF CUBES (CHEMICAL FREE) - FROZEN,0,Chemical free beef,348.0,93.0,0.0,15.0,0.0152320024906,1229.6358945,313.21535177,-71.6989393725,0.0159806411245
BEEF CUBES (CHEMICAL FREE) - FROZEN,NGS,Beef,12304.193557,3400.163557,15.615016615,11.0,0.538556054325,1229.6358945,313.21535177,900.637148936,0.584266597517
