Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
BAMBOO SUSHI MATT,NGS,Japanese cuisine,41.5,8.25,0.0,24.0,0.00176515757344,1251.23198091,318.640369211,-96.6832689195,0.00137792751322
BANANA,Kheir Misr,Fresh vegetables,4694.363487,805.583487,11.8097235963,40.0,0.199669668953,1251.23198091,318.640369211,275.179307963,0.134549775871
BANANA / 500G,NGS,Fresh Produce,675.62,156.04,3.21300015809,45.0,0.0287367652956,1251.23198091,318.640369211,-46.0036180096,0.0260620374744
BANANA BREAD (GLUTEN FREE) - TRACES OF GLUTEN,0,Snacks,332.5,175.0,10.2425151865,11.0,0.0141425275462,1251.23198091,318.640369211,-73.4261907407,0.029228765432
BANANA BREAD WITH WALNUTS AND CINNAMON (GLUTEN FREE),0,Bread,300.0,75.0,0.0,7.0,0.0127601752297,1251.23198091,318.640369211,-76.0236307434,0.0125266137566
BANANA CHIPS,0,Dried fruits,559.3,109.3,10.4191170396,11.0,0.0237892200199,1251.23198091,318.640369211,-55.3000555827,0.0182554517813
BANANAS,NGS,Fruits,644.621064,410.241064,0.0,5.0,0.0274182591113,1251.23198091,318.640369211,-48.4810911299,0.0685190847442
BANANAS ( IMPORTED ),NGS,Fresh fruits,2160.0,425.4,12.4278620132,23.0,0.0918732616536,1251.23198091,318.640369211,72.6298586472,0.0710509532273
BANANAS (CHEMICAL FREE),Balaika,Chemical free fruits,964.0,340.1,3.7447942366,17.0,0.0410026964047,1251.23198091,318.640369211,-22.9559334556,0.0568040178482
BANANAS (CHEMICAL FREE),NGS,Fruits,2049.263401,720.123401,4.37120807818,11.0,0.0871632002951,1251.23198091,318.640369211,63.7796533544,0.120276102685
BANANAS (IMPORTED),NGS,Fruits,4939.862729,1367.132729,20.7381003438,11.0,0.210111713442,1251.23198091,318.640369211,294.799909557,0.228340582002
BASIL,Tropical Heat,Condiments,10.0,3.0,0.0,24.0,0.000425339174322,1251.23198091,318.640369211,-99.2007876914,0.000501064550263
BASIL / DEFAULT,0,Condiments,10.0,10.0,0.0,20.0,0.000425339174322,1251.23198091,318.640369211,-99.2007876914,0.00167021516754
BASIL LEAVES,0,Herbs and spices,65.647297,21.647297,25.019575653,8.0,0.00279223671025,1251.23198091,318.640369211,-94.7533872214,0.00361556437857
BASMATI BROWN RICE ( ORGANIC ) / 907G,Lundberg Family Farms,Rice,5634.3,1181.9,13.1740028701,40.0,0.239648850988,1251.23198091,318.640369211,350.300191007,0.197402730652
BASMATI BROWN RICE (GLUTEN FREE),Bob's Red Mill,Rice,120.0,18.0,0.0,4.0,0.00510407009187,1251.23198091,318.640369211,-90.4094522974,0.00300638730158
BASMATI RICE ( WHITE ),0,Rice,525.0,105.0,4.09842021232,11.0,0.0223303066519,1251.23198091,318.640369211,-58.041353801,0.0175372592592
BATAW CRACKERS WITH SPICES,NGS,Bread,180.0,36.0,6.504108944,22.0,0.0076561051378,1251.23198091,318.640369211,-85.6141784461,0.00601277460316
BED TIME TEA / 16 TEA BAGS,imtenan,Teas & Herbs,8.19,1.89,0.0,47.0,0.00034835278377,1251.23198091,318.640369211,-99.3454451193,0.000315670666666
BEDOUIN LAMB BEIT KALAWI ( CHEMICAL FREE ),NGS,Chemical free beef,780.0,162.5,14.4533733711,19.0,0.0331764555971,1251.23198091,318.640369211,-37.661439933,0.0271409964726
BEDOUIN LAMB BEIT KALAWI (CHEMICAL FREE) - FROZEN,0,Lamb,4217.145344,1040.385344,47.1963459226,11.0,0.179371711861,1251.23198091,318.640369211,237.039446588,0.173766738164
BEDOUIN LAMB LEG ( CHEMICAL FREE ),NGS,Chemical free beef,1662.5,332.5,10.7844597622,19.0,0.0707126377311,1251.23198091,318.640369211,32.8690462967,0.0555346543208
BEDOUIN LAMB LEG ( CHEMICAL FREE ) - FROZEN,0,Lamb,3348.818495,793.218495,15.1067025233,11.0,0.142438369362,1251.23198091,318.640369211,167.641696031,0.132484556153
BEDOUIN LAMB SHOULDER (CHEMICAL FREE) - FROZEN,0,Lamb,579.218182,143.218182,0.0,4.0,0.0246364183284,1251.23198091,318.640369211,-53.7081699609,0.0239205179845
BEE POLLEN DUST ( EGYPTIAN ) / 300G,NGS,Food supplements,1473.225,237.225,5.109188397,39.0,0.0626620305091,1251.23198091,318.640369211,17.7419553266,0.0396216793121
BEE POLLEN DUST ( EGYPTIAN ) 140G,NGS,Food supplements,222.0,46.5,0.0,11.0,0.00944252966996,1251.23198091,318.640369211,-82.2574867501,0.00776650052908
BEE POLLEN GRANULES,0,Food supplements,1092.0,225.6,14.4259778602,11.0,0.046447037836,1251.23198091,318.640369211,-12.7260159061,0.0376800541798
BEE POLLEN GRANULES,"Starwest Botanicals,Inc.",Food supplements,336.0,48.0,5.62470912441,38.0,0.0142913962572,1251.23198091,318.640369211,-73.1464664327,0.00801703280421
BEEF (TRIBIANCO) / 1KG,Kheir Misr,Fresh Beef & Poultry,949.59003,390.90003,1.59872254662,45.0,0.0403897839305,1251.23198091,318.640369211,-24.1075959946,0.0652887159099
BEEF BBQ CUTTLETS (KABAB),Kheir Misr,Fresh Beef & Poultry,1404.0,324.0,3.83178325321,40.0,0.0597176200749,1251.23198091,318.640369211,12.2094081207,0.0541149714284
BEEF CUBES (CHEMICAL FREE) - FROZEN,0,Beef,174.0,174.0,0.0,12.0,0.00740090163321,1251.23198091,318.640369211,-86.0937058312,0.0290617439153
BEEF CUBES (CHEMICAL FREE) - FROZEN,0,Chemical free beef,348.0,93.0,0.0,15.0,0.0148018032664,1251.23198091,318.640369211,-72.1874116624,0.0155330010582
